Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3B54sVLJ402zGa6Xm4YGNe,"Unforgettable","Jungle Rules","French Montana;Swae Lee",2017-07-14,233901,85,true,31fk7r2twiddpapb5cqweuygxwky,2025-10-13T17:08:07Z,"","Bad Boy Entertainment/Epic Records",0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,4
spotify:track:7JJmb5XwzOO8jgpou264Ml,"There's Nothing Holdin' Me Back","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,199440,86,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-18T09:19:13Z,"","Island Records",0.866,0.811,11,-4.063,0,0.0553,0.375,0,0.078,0.969,121.995,4
spotify:track:5WQQIDU3HRaMyPkob8mpFb,"Where Have You Been","Talk That Talk","Rihanna",2011-11-18,242680,83,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-19T10:11:15Z,"","Def Jam Recordings",0.719,0.847,0,-6.34,0,0.0919,0.00201,0.0204,0.221,0.443,127.96,4
spotify:track:1TbxAY9cb9MbvTifjcvSkJ,"this is what winter feels like","this is what winter feels like","JVKE",2024-01-12,194782,66,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-19T10:28:14Z,"","JVKE",0.59,0.506,2,-5.7,1,0.0596,0.652,0.466,0.375,0.356,115.051,4
spotify:track:5GpfyJrKHJI36jDKtQiyGN,"Golden Brown","Golden Brown","The Stranglers",1981-12-28,206760,64,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-19T10:29:01Z,"proto-punk,new wave","Rhino",0.563,0.383,6,-15.474,1,0.0305,0.144,0.116,0.138,0.589,93.751,3
spotify:track:0HihDC6qQ8MChAhjfW3gMU,"KU LO SA (with Camila Cabello)","KU LO SA (with Camila Cabello)","Oxlade;Camila Cabello",2022-12-09,148800,68,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-20T05:28:53Z,"afrobeats,afrobeat,afropop,afro r&b,alté,afro soul,afroswing,afropiano","Troniq Inc",0.585,0.641,10,-5.053,0,0.085,0.631,0,0.2,0.828,93.058,4
spotify:track:0WW5RwxCofx9vPQWOIcahc,"Queen Of The Night (From ""Lokah - Chapter 1: Chandra"")","Queen Of The Night (From ""Lokah - Chapter 1: Chandra"")","Jakes Bejoy;Zeba Tommy",2025-09-18,209764,59,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-20T08:02:03Z,"malayalam pop,mollywood,malayalam hip hop","Wayfarer Films Private Limited",0.556,0.462,2,-9.124,1,0.0299,0.122,0.00102,0.128,0.308,76.011,4
spotify:track:45JYEmfoWSpCA3Paut7YXE,"MIDDLE OF THE NIGHT","PHOENIX","Elley Duhé",2023-10-27,184453,73,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-21T13:47:25Z,"","Not Fit For Society",0.528,0.659,4,-6.942,0,0.0386,0.0279,0,0.12,0.102,92.823,3
spotify:track:36brujMXvK6VR869nQwKZB,"Wasted - Nightcore","Wasted (Instrumental)","Murkish;Huken;harmony haven",2024-12-29,196080,50,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-22T09:02:19Z,"witch house","Harmony Haven",0.545,0.862,5,-4.43,1,0.033,0.0056,0.438,0.157,0.394,94.253,4
spotify:track:4WFgvKVfEhb3IUAFGrutTR,"Love Me Not","Bird's Eye","Ravyn Lenae",2024-08-09,213466,89,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-23T14:40:59Z,"alternative r&b,indie soul","Atlantic Records",0.779,0.731,0,-6.176,1,0.0306,0.296,0,0.128,0.814,114.001,4
spotify:track:19ItuvrZfTudwC6S5lkDH3,"The Machine","The Machine","Reed Wonder;Aurora Olivas",2023-03-17,192000,74,false,31fk7r2twiddpapb5cqweuygxwky,2025-10-23T15:33:37Z,"dark r&b","broke",0.339,0.437,10,-11.554,0,0.0587,0.254,0.00504,0.0742,0.102,99.819,4
